Glb_cost, Shm_cost, l2_cost, Reg_cost, PE_cost, Clk_cost, Static_cost
100, 6, 20, 2, 1, 1, 150

vgg16, , , , , , , , , , , , , , vgg16
conv/fc, m_n_k, cycle, inst, l1d_cache_access, l1c_cache_access, l2cache_access, mem_read_global, mem_write_global, fp_access, sp_access, reg_read, reg_write, shared_mem_access, Glb, Shm, Reg, PE, Clk, Glb_energy, Shm_energy, Reg_energy, PE_energy, Clk_energy
[1  3  224  224] [64  3  3  3] [1  64  224  224] [1  1] [1  1] 8 0 , 3211264_64_16, 2908675.0, 5471963136.0, 30507008.0, 0.0, 28906496.0, 3216384.0, 25690112.0, 211943424.0, 8349286400.0, 11939479552.0, 5722000928.0, 13808160.0, 28906496.0, 44315168.0, 551921265, 267538432, 2908675.0, 2890649600.0, 844020928.0, 1103842530, 267538432, 2908675.0, 
[1  64  224  224] [64  64  3  3] [1  64  224  224] [1  1] [1  1] 4 0 , 3211264_64_144, 5932535.0, 9583567872.0, 69042176.0, 0.0, 56963200.0, 31273088.0, 25690112.0, 622985216.0, 13769900032.0, 26403012608.0, 13379589760.0, 26652960.0, 56963200.0, 95695136.0, 1243206324, 449777664, 5932535.0, 5696320000.0, 1713434816.0, 2486412648, 449777664, 5932535.0, 
[1  64  112  112] [128  64  3  3] [1  128  112  112] [1  1] [1  1] 4 0 , 802816_128_144, 1688461.0, 2431953224.0, 27295744.0, 0.0, 23887511.0, 11042455.0, 12845056.0, 155746304.0, 3537207296.0, 6722781184.0, 3796612000.0, 6746880.0, 23887511.0, 34042624.0, 328731037, 115404800, 1688461.0, 2388751100.0, 682005964.0, 657462074, 115404800, 1688461.0, 
[1  128  112  112] [128  128  3  3] [1  128  112  112] [1  1] [1  1] 4 0 , 802816_128_288, 2622904.0, 3392700416.0, 41746432.0, 0.0, 41746432.0, 28901376.0, 12845056.0, 258506752.0, 4824924160.0, 10277650432.0, 7034121152.0, 9959680.0, 41746432.0, 51706112.0, 540992862, 158857216, 2622904.0, 4174643200.0, 1145165312.0, 1081985724, 158857216, 2622904.0, 
[1  128  56  56] [256  128  3  3] [1  256  56  56] [1  1] [1  1] 4 0 , 200704_256_288, 1327149.0, 1696350208.0, 20873216.0, 0.0, 20873216.0, 14450688.0, 6422528.0, 129253376.0, 2412462080.0, 5138825216.0, 3517094400.0, 4971904.0, 20873216.0, 25845120.0, 270497488, 79428608, 1327149.0, 2087321600.0, 572535040.0, 540994976, 79428608, 1327149.0, 
[1  256  56  56] [256  256  3  3] [1  256  56  56] [1  1] [1  1] 4 0 , 200704_256_576, 2214738.0, 2657320960.0, 35323904.0, 0.0, 35323904.0, 28901376.0, 6422528.0, 232013824.0, 3700178944.0, 8693694464.0, 6316317376.0, 8179584.0, 35323904.0, 43503488.0, 469062870, 122881024, 2214738.0, 3532390400.0, 967499008.0, 938125740, 122881024, 2214738.0, 
[1  256  56  56] [256  256  3  3] [1  256  56  56] [1  1] [1  1] 4 0 , 200704_256_576, 2214738.0, 2657320960.0, 35323904.0, 0.0, 35323904.0, 28901376.0, 6422528.0, 232013824.0, 3700178944.0, 8693694464.0, 6316317376.0, 8179584.0, 35323904.0, 43503488.0, 469062870, 122881024, 2214738.0, 3532390400.0, 967499008.0, 938125740, 122881024, 2214738.0, 
[1  256  28  28] [512  256  3  3] [1  512  28  28] [1  1] [1  1] 4 0 , 50176_512_576, 1118755.0, 1328660480.0, 17661952.0, 0.0, 17661952.0, 14450688.0, 3211264.0, 116006912.0, 1850089472.0, 4346847232.0, 3158530848.0, 4073472.0, 17661952.0, 21735424.0, 234543065, 61440512, 1118755.0, 1766195200.0, 483651584.0, 469086130, 61440512, 1118755.0, 
[1  512  28  28] [512  512  3  3] [1  512  28  28] [1  1] [1  1] 4 0 , 50176_512_1152, 2098624.0, 2408849408.0, 32112640.0, 0.0, 32112640.0, 28901376.0, 3211264.0, 231612416.0, 3298770944.0, 8346075136.0, 6080403392.0, 7716864.0, 32112640.0, 39829504.0, 450827454, 110324480, 2098624.0, 3211264000.0, 881229824.0, 901654908, 110324480, 2098624.0, 
[1  512  28  28] [512  512  3  3] [1  512  28  28] [1  1] [1  1] 4 0 , 50176_512_1152, 2098624.0, 2408849408.0, 32112640.0, 0.0, 32112640.0, 28901376.0, 3211264.0, 231612416.0, 3298770944.0, 8346075136.0, 6080403392.0, 7716864.0, 32112640.0, 39829504.0, 450827454, 110324480, 2098624.0, 3211264000.0, 881229824.0, 901654908, 110324480, 2098624.0, 
