Glb_cost, Shm_cost, l2_cost, Reg_cost, PE_cost, Clk_cost, Static_cost
100, 6, 20, 2, 1, 1, 150

vgg16, , , , , , , , , , , , , , vgg16
conv/fc, m_n_k, cycle, inst, l1d_cache_access, l1c_cache_access, l2cache_access, mem_read_global, mem_write_global, fp_access, sp_access, reg_read, reg_write, shared_mem_access, Glb, Shm, Reg, PE, Clk, Glb_energy, Shm_energy, Reg_energy, PE_energy, Clk_energy
[1  3  224  224] [64  3  3  3] [1  64  224  224] [1  1] [1  1] 8 0 , 3211264_64_16, 2908675.0, 5471963136.0, 30507008.0, 0.0, 28906496.0, 3216384.0, 25690112.0, 211943424.0, 8349286400.0, 11939479552.0, 5722000928.0, 13808160.0, 28906496.0, 44315168.0, 551921265, 267538432, 2908675.0, 2890649600.0, 844020928.0, 1103842530, 267538432, 2908675.0, 
[1  64  224  224] [64  64  3  3] [1  64  224  224] [1  1] [1  1] 8 0 , 3211264_64_288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[1  64  112  112] [128  64  3  3] [1  128  112  112] [1  1] [1  1] 8 0 , 802816_128_288, 2622904.0, 3392700416.0, 41746432.0, 0.0, 41746432.0, 28901376.0, 12845056.0, 258506752.0, 4824924160.0, 10277650432.0, 7034121152.0, 9959680.0, 41746432.0, 51706112.0, 540992862, 158857216, 2622904.0, 4174643200.0, 1145165312.0, 1081985724, 158857216, 2622904.0, 
[1  128  112  112] [128  128  3  3] [1  128  112  112] [1  1] [1  1] 8 0 , 802816_128_576, 4384344.0, 5314641920.0, 70647808.0, 0.0, 70647808.0, 57802752.0, 12845056.0, 464027648.0, 7400357888.0, 17387388928.0, 12637906816.0, 16365696.0, 70647808.0, 87013504.0, 938290492, 245762048, 4384344.0, 7064780800.0, 1935037184.0, 1876580984, 245762048, 4384344.0, 
[1  128  56  56] [256  128  3  3] [1  256  56  56] [1  1] [1  1] 8 0 , 200704_256_576, 2214738.0, 2657320960.0, 35323904.0, 0.0, 35323904.0, 28901376.0, 6422528.0, 232013824.0, 3700178944.0, 8693694464.0, 6316317376.0, 8179584.0, 35323904.0, 43503488.0, 469062870, 122881024, 2214738.0, 3532390400.0, 967499008.0, 938125740, 122881024, 2214738.0, 
[1  256  56  56] [256  256  3  3] [1  256  56  56] [1  1] [1  1] 8 0 , 200704_256_1152, 4177874.0, 4817698816.0, 64225280.0, 0.0, 64225280.0, 57802752.0, 6422528.0, 463224832.0, 6597541888.0, 16692150272.0, 12164547968.0, 15409152.0, 64225280.0, 79634432.0, 901771820, 220648960, 4177874.0, 6422528000.0, 1762312192.0, 1803543640, 220648960, 4177874.0, 
[1  256  56  56] [256  256  3  3] [1  256  56  56] [1  1] [1  1] 8 0 , 200704_256_1152, 4177874.0, 4817698816.0, 64225280.0, 0.0, 64225280.0, 57802752.0, 6422528.0, 463224832.0, 6597541888.0, 16692150272.0, 12164547968.0, 15409152.0, 64225280.0, 79634432.0, 901771820, 220648960, 4177874.0, 6422528000.0, 1762312192.0, 1803543640, 220648960, 4177874.0, 
[1  256  28  28] [512  256  3  3] [1  512  28  28] [1  1] [1  1] 8 0 , 50176_512_1152, 2098624.0, 2408849408.0, 32112640.0, 0.0, 32112640.0, 28901376.0, 3211264.0, 231612416.0, 3298770944.0, 8346075136.0, 6080403392.0, 7716864.0, 32112640.0, 39829504.0, 450827454, 110324480, 2098624.0, 3211264000.0, 881229824.0, 901654908, 110324480, 2098624.0, 
[1  512  28  28] [512  512  3  3] [1  512  28  28] [1  1] [1  1] 8 0 , 50176_512_2304, 4061291.0, 4569227264.0, 61014016.0, 0.0, 61014016.0, 57802752.0, 3211264.0, 462823424.0, 6196133888.0, 16344530944.0, 11922598656.0, 14999040.0, 61014016.0, 76013056.0, 883347800, 208092416, 4061291.0, 6101401600.0, 1676358656.0, 1766695600, 208092416, 4061291.0, 
[1  512  28  28] [512  512  3  3] [1  512  28  28] [1  1] [1  1] 8 0 , 50176_512_2304, 4061291.0, 4569227264.0, 61014016.0, 0.0, 61014016.0, 57802752.0, 3211264.0, 462823424.0, 6196133888.0, 16344530944.0, 11922598656.0, 14999040.0, 61014016.0, 76013056.0, 883347800, 208092416, 4061291.0, 6101401600.0, 1676358656.0, 1766695600, 208092416, 4061291.0, 
[1  512  14  14] [512  512  3  3] [1  512  14  14] [1  1] [1  1] 4 0 , 12544_512_1152, 534878.0, 602212352.0, 8028160.0, 0.0, 8028160.0, 7225344.0, 802816.0, 57903104.0, 824692736.0, 2086518784.0, 1520585216.0, 1892352.0, 8028160.0, 9920512.0, 112722000, 27581120, 534878.0, 802816000.0, 220086272.0, 225444000, 27581120, 534878.0, 
[1  512  14  14] [512  512  3  3] [1  512  14  14] [1  1] [1  1] 8 0 , 12544_512_2304, 1026357.0, 1142306816.0, 15253504.0, 0.0, 15253504.0, 14450688.0, 802816.0, 115705856.0, 1549033472.0, 4086132736.0, 2981340544.0, 3714048.0, 15253504.0, 18967552.0, 220858540, 52023104, 1026357.0, 1525350400.0, 418875392.0, 441717080, 52023104, 1026357.0, 
[1  512  14  14] [512  512  3  3] [1  512  14  14] [1  1] [1  1] 4 0 , 12544_512_1152, 534878.0, 602212352.0, 8028160.0, 0.0, 8028160.0, 7225344.0, 802816.0, 57903104.0, 824692736.0, 2086518784.0, 1520585216.0, 1892352.0, 8028160.0, 9920512.0, 112722000, 27581120, 534878.0, 802816000.0, 220086272.0, 225444000, 27581120, 534878.0, 
[1  25088] [4096  25088] [1  4096] [] [] 8 1 , 64_4096_12544, 1035778.0, 484929536.0, 4849664.0, 0.0, 4849664.0, 4816896.0, 32768.0, 51388416.0, 652050432.0, 1781317632.0, 1100530560.0, 4037632.0, 4849664.0, 8887296.0, 90057756, 21982464, 1035778.0, 484966400.0, 150317056.0, 180115512, 21982464, 1035778.0, 
[1  4096] [4096  4096] [1  4096] [] [] 4 1 , 64_4096_1024, 98387.0, 44036096.0, 425984.0, 0.0, 425984.0, 393216.0, 32768.0, 4202496.0, 60751872.0, 151928832.0, 94222080.0, 351232.0, 425984.0, 777216.0, 7692216, 2029824, 98387.0, 42598400.0, 13182976.0, 15384432, 2029824, 98387.0, 
[1  4096] [1000  4096] [1  1000] [] [] 8 1 , 64_1000_2048, 176368.0, 20805632.0, 201536.0, 0.0, 201536.0, 193536.0, 8000.0, 2099200.0, 28324352.0, 74179328.0, 45298336.0, 169728.0, 201536.0, 371264.0, 3733677, 950736, 176368.0, 20153600.0, 6258304.0, 7467354, 950736, 176368.0, 

 SUM , , 34114261.0, 40915830784.0, 497603392.0, 0.0, 496002880.0, 413239296.0, 82763584.0, 3539402752.0, 57100415488.0, 132984247040.0, 93227604864.0, 128903712.0, 496002880.0, 626507104.0, 7069120372, 1894994320, 34114261.0, 49600288000.0, 13679100224.0, 14138240744, 1894994320, 34114261.0, 

resnet18, , , , , , , , , , , , , , resnet18
